bottom_lip_x,bottom_lip_y,chin_x,chin_y,left_eye_x,left_eye_y,left_eyebrow_x,left_eyebrow_y,nose_bridge_x,nose_bridge_y,nose_tip_x,nose_tip_y,right_eye_x,right_eye_y,right_eyebrow_x,right_eyebrow_y,top_lip_x,top_lip_y,Output
85.58333333,160.5833333,96.52941176,153.1176471,68.83333333,111,65.2,99.2,78.75,127.5,79.8,145.8,105.5,115.5,109,104,85.33333333,153.8333333,0
85.5,160.0833333,94.29411765,154.4705882,68.83333333,112,67,101.6,82,123.5,82.4,141,107,113.8333333,108.2,103.8,85.5,151.4166667,0
,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,0
87.58333333,152.5833333,92,158.4705882,65.66666667,114.8333333,60.4,96.8,86.75,111.75,87,131,111,113.1666667,114.2,95,87.41666667,146.25,0
90.33333333,159.25,82.41176471,149.6470588,70.33333333,112.8333333,66.8,98.4,92.5,120.25,92,137.8,106,112,109.6,97.6,90.33333333,152.0833333,0
88,157.0833333,90.17647059,150.6470588,68.5,113.6666667,63.8,102,85.5,124,86.2,141.2,107,112,109.6,100.2,88,153,1
87.16666667,157.1666667,93.29411765,147.7647059,70.16666667,112,66.6,104,84,125,85.2,141.4,105,112.1666667,107.6,103.8,87,154.6666667,1
90.08333333,159.4166667,84,151.3529412,69.33333333,114.3333333,66.4,100.8,95,126,94.4,143.8,110.1666667,112.6666667,114.2,99.6,90.33333333,152.75,0
89.33333333,156.0833333,88.82352941,150.7647059,67.83333333,112.5,66,101.8,89,124.5,88.8,141.4,109,113.8333333,111.6,104.4,89,152.1666667,0
88.58333333,159.9166667,85.76470588,148.8235294,68.5,112,66.8,99.8,90,126.75,88.8,143.4,108.3333333,112.8333333,111,101,88.66666667,151.5833333,0
88.75,158.6666667,89.05882353,157.4705882,69.16666667,114.1666667,65.6,102.2,88,123.5,88.6,141.4,107.6666667,114.1666667,111.8,102,88.83333333,151.9166667,1
88.25,157.5,85.76470588,152.8823529,67.16666667,113.5,64,107.2,90.25,126,89.8,143.6,108.5,112.1666667,112,105,88.33333333,153,1
89.08333333,156.75,84,147.5294118,68.66666667,113.6666667,67.4,99.2,93,127,91.6,143.6,109.5,112.6666667,113.8,98.6,89.16666667,152.5833333,0
89.58333333,155.5833333,85.94117647,155,69.5,111.6666667,67.6,104,90.5,122,90.6,138.8,106.8333333,113,109.4,105.6,90.08333333,151.1666667,1
86.16666667,154.6666667,90.82352941,155.0588235,69.16666667,113.5,63.4,104.6,85,125,86.4,141.4,106.8333333,112.5,110.4,102.8,86.5,152.0833333,1
87.25,158.6666667,91.94117647,154.7058824,67.66666667,112.6666667,63.8,101.4,85.5,125.5,86.2,142.8,109.3333333,113.1666667,112,101.8,87.66666667,150.5833333,0
88.33333333,156.3333333,87.88235294,156.3529412,67.66666667,113.3333333,64.2,98.2,88,122.5,88,139.6,109.6666667,113.8333333,113,99.8,88.16666667,150.4166667,0
89.16666667,154.8333333,88.52941176,148,69.5,112,68.2,102.8,89.5,123,89,139.8,109.6666667,112.1666667,110.8,102,89.08333333,149.9166667,0
88,152.6666667,90.17647059,160.2941176,69.5,113,67.8,104.2,86,114.75,87,132.8,107.3333333,111,107.8,101.8,88.16666667,148.3333333,1
87.91666667,160.3333333,91.11764706,154.3529412,70.33333333,111.5,67.6,103.8,86.75,124.5,87.4,141.6,105.5,110.6666667,107.4,104.2,87.83333333,152.0833333,1
87.41666667,156.8333333,90.41176471,152.5882353,70,112.1666667,66.8,99.2,86.5,121.25,86.6,138,107.1666667,111.6666667,108.8,97.8,87.5,151.8333333,0
87.91666667,156.5833333,85.88235294,152.2352941,68.66666667,113.3333333,63.6,103,88.25,125.75,88.2,143.4,106.1666667,111.6666667,109,101.6,87.91666667,153.25,1
86.91666667,152.75,90.47058824,154.5882353,69.33333333,111,65.8,95.6,85.25,113,86.2,130.8,107,111.6666667,110.4,97,86.58333333,145.25,0
88.08333333,154.3333333,94.70588235,155.8235294,70,113,66.4,103.6,85.75,118.25,86.6,137.8,108.8333333,112.5,111,102.6,87.75,150.9166667,1
88.08333333,155.5,90.47058824,149.2352941,69,113.1666667,66.4,103.6,87,124.5,87.6,141.2,108,113.3333333,108.4,103,88.08333333,150.6666667,0
91.83333333,160.1666667,82,153.1176471,71.5,113,71,102.8,99,125,97.6,143.2,107.6666667,110.5,111.2,100.6,92.58333333,152.3333333,0
88.41666667,160.6666667,88.47058824,154.2941176,67.66666667,114.3333333,65,103.2,88,130.5,88.6,146.2,110.1666667,114,112.4,101.8,88.58333333,152.3333333,0
89.08333333,156.75,86.70588235,153.6470588,68.83333333,112.8333333,64.2,98,89.75,120,89.6,136.8,108.3333333,112.8333333,112,98.6,88.91666667,149.75,0
91.08333333,155.4166667,82.23529412,150.4705882,71.5,111.1666667,71,102,94.5,123.5,92.4,140.6,107.1666667,112.8333333,110.4,104.2,90.91666667,152.5833333,1
89.16666667,159.1666667,90.23529412,156.3529412,68.16666667,114,62.6,102.4,88,125.75,88.4,143.4,109.1666667,112.1666667,112.8,100.6,88.83333333,152.5833333,0
87.5,157.0833333,87.76470588,149.3529412,71.83333333,111.1666667,69.4,101.4,88.75,121.5,88.2,138.8,106.5,111.8333333,108.2,101.2,87.83333333,152.25,1
89,155.75,88.52941176,149.8235294,69.33333333,111.8333333,65.2,103.2,88,124,88,140.2,107.3333333,112.6666667,111.4,105.4,89,152.4166667,1
89.25,156.1666667,85.52941176,151.2941176,70.16666667,112.8333333,67.6,102.4,91.5,124.5,90.8,141,107.1666667,113.3333333,108.6,103,89.41666667,152,0
89.16666667,155.5,88.94117647,147.4705882,69.83333333,113,66.8,102.8,89,123,89,140,107.8333333,113,109.8,102.4,89.16666667,151.25,0
,,,,,,,,,,,,,,,,,,1
89.91666667,158.25,75.41176471,147.5882353,71.16666667,111.5,70,100.4,94.5,121.5,93.2,138.6,104.1666667,111.6666667,106.8,101.4,90.83333333,152.4166667,1
